,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,mfcc,3,0.0,10,0,0.5209580838323353,0.4636656746031746,"(10, 141)","(665, 72000)","(167, 72000)",cnn
0,mfcc,2,0.0,10,0,0.5827586206896552,0.5532324735449735,"(10, 94)","(1157, 48000)","(290, 48000)",cnn
0,mfcc,1,0.0,10,0,0.5925925925925926,0.575290228080581,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
0,mfcc,3,0.0,18,0,0.6646706586826348,0.5949900793650794,"(18, 141)","(665, 72000)","(167, 72000)",cnn
0,mfcc,2,0.0,18,0,0.7586206896551724,0.733755711880712,"(18, 94)","(1157, 48000)","(290, 48000)",cnn
0,mfcc,1,0.0,18,0,0.7733333333333333,0.7672116167859202,"(18, 47)","(2696, 24000)","(675, 24000)",cnn
0,mfcc,3,0.0,26,0,0.8023952095808384,0.7692460317460318,"(26, 141)","(665, 72000)","(167, 72000)",cnn
0,mfcc,2,0.0,26,0,0.8103448275862069,0.7887991059866059,"(26, 94)","(1157, 48000)","(290, 48000)",cnn
0,mfcc,1,0.0,26,0,0.848888888888889,0.8383885270359728,"(26, 47)","(2696, 24000)","(675, 24000)",cnn
0,mfcc,3,0.0,34,0,0.7844311377245508,0.7613343253968253,"(34, 141)","(665, 72000)","(167, 72000)",cnn
0,mfcc,2,0.0,34,0,0.8275862068965517,0.809659669034669,"(34, 94)","(1157, 48000)","(290, 48000)",cnn
0,mfcc,1,0.0,34,0,0.8325925925925926,0.8232283921145772,"(34, 47)","(2696, 24000)","(675, 24000)",cnn
0,mfcc,3,0.0,40,0,0.7245508982035929,0.6619791666666667,"(40, 141)","(665, 72000)","(167, 72000)",cnn
0,mfcc,2,0.0,40,0,0.7586206896551724,0.7303692256817257,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
0,mfcc,1,0.0,40,0,0.794074074074074,0.7773352529858916,"(40, 47)","(2696, 24000)","(675, 24000)",cnn
