,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,stft,3,0.0,256,0,0.3413173652694611,0.2920882936507936,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
0,stft,2,0.0,256,0,0.3793103448275862,0.370964799089799,"(129, 751)","(1157, 48000)","(290, 48000)",cnn
0,stft,1,0.0,256,0,0.5125925925925926,0.4974827243632314,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
0,stft,3,0.0,512,0,0.311377245508982,0.2545319264069264,"(257, 563)","(665, 72000)","(167, 72000)",cnn
0,stft,2,0.0,512,0,0.3310344827586207,0.3049001924001924,"(257, 376)","(1157, 48000)","(290, 48000)",cnn
0,stft,1,0.0,512,0,0.5022222222222222,0.4844173922327106,"(257, 188)","(2696, 24000)","(675, 24000)",cnn
0,stft,3,0.0,1024,0,0.2634730538922156,0.2349206349206349,"(513, 282)","(665, 72000)","(167, 72000)",cnn
0,stft,2,0.0,1024,0,0.3206896551724137,0.2897238756613756,"(513, 188)","(1157, 48000)","(290, 48000)",cnn
0,stft,1,0.0,1024,0,0.5066666666666667,0.4875952212204146,"(513, 94)","(2696, 24000)","(675, 24000)",cnn
0,stft,3,0.0,2048,0,0.3053892215568862,0.2657738095238095,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
0,stft,2,0.0,2048,0,0.3655172413793104,0.3283927299552299,"(1025, 94)","(1157, 48000)","(290, 48000)",cnn
0,stft,1,0.0,2048,0,0.4948148148148148,0.47816184647977,"(1025, 47)","(2696, 24000)","(675, 24000)",cnn
