,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0.0,stft,3,0.0,256,0,0.0119760479041916,0.0004901960784313,"(129, 1126)","(665, 72000)","(167, 72000)",knn
1,1.0,stft,3,0.0,512,0,0.0179640718562874,0.0020411605937921,"(257, 563)","(665, 72000)","(167, 72000)",knn
2,2.0,stft,3,0.0,1024,0,0.0119760479041916,0.0004084967320261,"(513, 282)","(665, 72000)","(167, 72000)",knn
3,3.0,stft,3,0.0,2048,0,0.0119760479041916,0.0004789272030651,"(1025, 141)","(665, 72000)","(167, 72000)",knn
4,0.0,stft,2,0.0,256,0,0.0379310344827586,0.0293765011487051,"(129, 751)","(1157, 48000)","(290, 48000)",knn
5,1.0,stft,2,0.0,512,0,0.0379310344827586,0.0288648504273504,"(257, 376)","(1157, 48000)","(290, 48000)",knn
6,2.0,stft,2,0.0,1024,0,0.0413793103448275,0.0320649258149258,"(513, 188)","(1157, 48000)","(290, 48000)",knn
7,3.0,stft,2,0.0,2048,0,0.0413793103448275,0.0277860449735449,"(1025, 94)","(1157, 48000)","(290, 48000)",knn
8,0.0,stft,1,0.0,256,0,0.0785185185185185,0.068620989144915,"(129, 376)","(2696, 24000)","(675, 24000)",knn
9,1.0,stft,1,0.0,512,0,0.0903703703703703,0.082166395293861,"(257, 188)","(2696, 24000)","(675, 24000)",knn
10,2.0,stft,1,0.0,1024,0,0.0844444444444444,0.0759629454154592,"(513, 94)","(2696, 24000)","(675, 24000)",knn
11,3.0,stft,1,0.0,2048,0,0.074074074074074,0.0757045162178161,"(1025, 47)","(2696, 24000)","(675, 24000)",knn
0,,stft,3,0.0,256,0,0.0119760479041916,0.0004901960784313,"(129, 1126)","(665, 72000)","(167, 72000)",knn
1,,stft,3,0.0,512,0,0.0179640718562874,0.0020411605937921,"(257, 563)","(665, 72000)","(167, 72000)",knn
2,,stft,3,0.0,1024,0,0.0119760479041916,0.0004084967320261,"(513, 282)","(665, 72000)","(167, 72000)",knn
3,,stft,3,0.0,2048,0,0.0119760479041916,0.0004789272030651,"(1025, 141)","(665, 72000)","(167, 72000)",knn
0,,stft,2,0.0,256,0,0.0379310344827586,0.0293765011487051,"(129, 751)","(1157, 48000)","(290, 48000)",knn
1,,stft,2,0.0,512,0,0.0379310344827586,0.0288648504273504,"(257, 376)","(1157, 48000)","(290, 48000)",knn
2,,stft,2,0.0,1024,0,0.0413793103448275,0.0320649258149258,"(513, 188)","(1157, 48000)","(290, 48000)",knn
3,,stft,2,0.0,2048,0,0.0413793103448275,0.0277860449735449,"(1025, 94)","(1157, 48000)","(290, 48000)",knn
0,,stft,1,0.0,256,0,0.0785185185185185,0.068620989144915,"(129, 376)","(2696, 24000)","(675, 24000)",knn
1,,stft,1,0.0,512,0,0.0903703703703703,0.082166395293861,"(257, 188)","(2696, 24000)","(675, 24000)",knn
2,,stft,1,0.0,1024,0,0.0844444444444444,0.0759629454154592,"(513, 94)","(2696, 24000)","(675, 24000)",knn
3,,stft,1,0.0,2048,0,0.074074074074074,0.0757045162178161,"(1025, 47)","(2696, 24000)","(675, 24000)",knn
