,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,fft,3,0.0,256,3,0.0838323353293413,0.0646329365079365,"(256,)","(665, 72000)","(167, 72000)",knn
1,fft,3,0.0,512,3,0.0658682634730539,0.0467013888888888,"(512,)","(665, 72000)","(167, 72000)",knn
2,fft,3,0.0,1024,3,0.155688622754491,0.1385664682539682,"(1024,)","(665, 72000)","(167, 72000)",knn
3,fft,3,0.0,2048,3,0.2035928143712574,0.1573991402116402,"(2048,)","(665, 72000)","(167, 72000)",knn
4,fft,3,0.25,256,3,0.0419161676646706,0.0317956349206349,"(256,)","(665, 72000)","(167, 72000)",knn
5,fft,3,0.25,512,3,0.0359281437125748,0.0245039682539682,"(512,)","(665, 72000)","(167, 72000)",knn
6,fft,3,0.25,1024,3,0.1077844311377245,0.0822229853479853,"(1024,)","(665, 72000)","(167, 72000)",knn
7,fft,3,0.25,2048,3,0.2155688622754491,0.167824074074074,"(2048,)","(665, 72000)","(167, 72000)",knn
8,fft,3,0.5,256,3,0.0718562874251497,0.047850529100529,"(256,)","(665, 72000)","(167, 72000)",knn
9,fft,3,0.5,512,3,0.0658682634730539,0.0424355158730158,"(512,)","(665, 72000)","(167, 72000)",knn
10,fft,3,0.5,1024,3,0.0658682634730539,0.0536210317460317,"(1024,)","(665, 72000)","(167, 72000)",knn
11,fft,3,0.5,2048,3,0.1676646706586826,0.1298257298257298,"(2048,)","(665, 72000)","(167, 72000)",knn
12,fft,3,1.0,256,3,0.0658682634730539,0.0406092171717171,"(256,)","(665, 72000)","(167, 72000)",knn
13,fft,3,1.0,512,3,0.0658682634730539,0.0479662698412698,"(512,)","(665, 72000)","(167, 72000)",knn
14,fft,3,1.0,1024,3,0.1257485029940119,0.0921130952380952,"(1024,)","(665, 72000)","(167, 72000)",knn
15,fft,3,1.0,2048,3,0.1497005988023952,0.1075742544492544,"(2048,)","(665, 72000)","(167, 72000)",knn
0,fft,2,0.0,256,3,0.0758620689655172,0.074718395030895,"(256,)","(1157, 48000)","(290, 48000)",knn
1,fft,2,0.0,512,3,0.0655172413793103,0.0579868626743626,"(512,)","(1157, 48000)","(290, 48000)",knn
2,fft,2,0.0,1024,3,0.1103448275862069,0.0957266113516113,"(1024,)","(1157, 48000)","(290, 48000)",knn
3,fft,2,0.0,2048,3,0.1862068965517241,0.1752172017797018,"(2048,)","(1157, 48000)","(290, 48000)",knn
4,fft,2,0.25,256,3,0.0413793103448275,0.0306766066154329,"(256,)","(1157, 48000)","(290, 48000)",knn
5,fft,2,0.25,512,3,0.0379310344827586,0.0383477633477633,"(512,)","(1157, 48000)","(290, 48000)",knn
6,fft,2,0.25,1024,3,0.0758620689655172,0.0616361936674436,"(1024,)","(1157, 48000)","(290, 48000)",knn
7,fft,2,0.25,2048,3,0.1310344827586207,0.1151180705868206,"(2048,)","(1157, 48000)","(290, 48000)",knn
8,fft,2,0.5,256,3,0.0793103448275862,0.0724097372534872,"(256,)","(1157, 48000)","(290, 48000)",knn
9,fft,2,0.5,512,3,0.0655172413793103,0.0576714373589373,"(512,)","(1157, 48000)","(290, 48000)",knn
10,fft,2,0.5,1024,3,0.093103448275862,0.0810030536593036,"(1024,)","(1157, 48000)","(290, 48000)",knn
11,fft,2,0.5,2048,3,0.1,0.0911223370927318,"(2048,)","(1157, 48000)","(290, 48000)",knn
12,fft,2,1.0,256,3,0.0620689655172413,0.0521266145347027,"(256,)","(1157, 48000)","(290, 48000)",knn
13,fft,2,1.0,512,3,0.0620689655172413,0.0446989353239353,"(512,)","(1157, 48000)","(290, 48000)",knn
14,fft,2,1.0,1024,3,0.1034482758620689,0.0834338587216876,"(1024,)","(1157, 48000)","(290, 48000)",knn
15,fft,2,1.0,2048,3,0.1275862068965517,0.109781592318357,"(2048,)","(1157, 48000)","(290, 48000)",knn
0,fft,1,0.0,256,3,0.0992592592592592,0.0947458570872453,"(256,)","(2696, 24000)","(675, 24000)",knn
1,fft,1,0.0,512,3,0.0992592592592592,0.0997447031410554,"(512,)","(2696, 24000)","(675, 24000)",knn
2,fft,1,0.0,1024,3,0.1437037037037037,0.1419384414758049,"(1024,)","(2696, 24000)","(675, 24000)",knn
3,fft,1,0.0,2048,3,0.1807407407407407,0.1846892470582991,"(2048,)","(2696, 24000)","(675, 24000)",knn
4,fft,1,0.25,256,3,0.04,0.050718800534977,"(256,)","(2696, 24000)","(675, 24000)",knn
5,fft,1,0.25,512,3,0.077037037037037,0.0778927934367887,"(512,)","(2696, 24000)","(675, 24000)",knn
6,fft,1,0.25,1024,3,0.1081481481481481,0.1083490973565159,"(1024,)","(2696, 24000)","(675, 24000)",knn
7,fft,1,0.25,2048,3,0.1407407407407407,0.1463415368073828,"(2048,)","(2696, 24000)","(675, 24000)",knn
8,fft,1,0.5,256,3,0.0755555555555555,0.0698235543417335,"(256,)","(2696, 24000)","(675, 24000)",knn
9,fft,1,0.5,512,3,0.0844444444444444,0.0786201984271891,"(512,)","(2696, 24000)","(675, 24000)",knn
10,fft,1,0.5,1024,3,0.0859259259259259,0.0875042725520867,"(1024,)","(2696, 24000)","(675, 24000)",knn
11,fft,1,0.5,2048,3,0.117037037037037,0.1223646646582007,"(2048,)","(2696, 24000)","(675, 24000)",knn
12,fft,1,1.0,256,3,0.0785185185185185,0.0771418543236494,"(256,)","(2696, 24000)","(675, 24000)",knn
