feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,3,0.0,256,3,0.08383233532934131,0.06463293650793651,"(256,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,512,3,0.0658682634730539,0.04670138888888888,"(512,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,1024,3,0.15568862275449102,0.13856646825396826,"(1024,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,2048,3,0.20359281437125748,0.1573991402116402,"(2048,)","(665, 72000)","(167, 72000)",knn
fft,3,0.25,256,3,0.041916167664670656,0.031795634920634926,"(256,)","(665, 72000)","(167, 72000)",knn
fft,3,0.25,512,3,0.03592814371257485,0.024503968253968254,"(512,)","(665, 72000)","(167, 72000)",knn
fft,3,0.25,1024,3,0.10778443113772455,0.08222298534798535,"(1024,)","(665, 72000)","(167, 72000)",knn
fft,3,0.25,2048,3,0.2155688622754491,0.16782407407407407,"(2048,)","(665, 72000)","(167, 72000)",knn
fft,3,0.5,256,3,0.0718562874251497,0.047850529100529095,"(256,)","(665, 72000)","(167, 72000)",knn
fft,3,0.5,512,3,0.0658682634730539,0.04243551587301587,"(512,)","(665, 72000)","(167, 72000)",knn
fft,3,0.5,1024,3,0.0658682634730539,0.05362103174603174,"(1024,)","(665, 72000)","(167, 72000)",knn
fft,3,0.5,2048,3,0.16766467065868262,0.12982572982572982,"(2048,)","(665, 72000)","(167, 72000)",knn
fft,3,1.0,256,3,0.0658682634730539,0.04060921717171717,"(256,)","(665, 72000)","(167, 72000)",knn
fft,3,1.0,512,3,0.0658682634730539,0.047966269841269844,"(512,)","(665, 72000)","(167, 72000)",knn
fft,3,1.0,1024,3,0.12574850299401197,0.09211309523809523,"(1024,)","(665, 72000)","(167, 72000)",knn
fft,3,1.0,2048,3,0.1497005988023952,0.10757425444925445,"(2048,)","(665, 72000)","(167, 72000)",knn
