,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,lpc,3,0.0,256,3,0.2754491017964072,0.2340773809523809,"(257,)","(665, 72000)","(167, 72000)",knn
1,lpc,3,0.0,512,3,0.1257485029940119,0.0954499965190754,"(513,)","(665, 72000)","(167, 72000)",knn
2,lpc,3,0.0,1024,3,0.1017964071856287,0.0667595510426392,"(1025,)","(665, 72000)","(167, 72000)",knn
3,lpc,3,0.0,2048,3,0.1317365269461078,0.0948317307692307,"(2049,)","(665, 72000)","(167, 72000)",knn
4,lpc,3,0.25,256,3,0.2215568862275449,0.181712962962963,"(257,)","(665, 72000)","(167, 72000)",knn
5,lpc,3,0.25,512,3,0.0898203592814371,0.0657828282828282,"(513,)","(665, 72000)","(167, 72000)",knn
6,lpc,3,0.25,1024,3,0.1017964071856287,0.0662533068783068,"(1025,)","(665, 72000)","(167, 72000)",knn
7,lpc,3,0.25,2048,3,0.0119760479041916,0.009375,"(2049,)","(665, 72000)","(167, 72000)",knn
8,lpc,3,0.5,256,3,0.1916167664670658,0.138510101010101,"(257,)","(665, 72000)","(167, 72000)",knn
9,lpc,3,0.5,512,3,0.0958083832335329,0.0731303418803418,"(513,)","(665, 72000)","(167, 72000)",knn
10,lpc,3,0.5,1024,3,0.1017964071856287,0.0606481481481481,"(1025,)","(665, 72000)","(167, 72000)",knn
11,lpc,3,0.5,2048,3,0.0958083832335329,0.0603009259259259,"(2049,)","(665, 72000)","(167, 72000)",knn
12,lpc,3,1.0,256,3,0.1916167664670658,0.135806727994228,"(257,)","(665, 72000)","(167, 72000)",knn
13,lpc,3,1.0,512,3,0.0958083832335329,0.0710903679653679,"(513,)","(665, 72000)","(167, 72000)",knn
14,lpc,3,1.0,1024,3,0.1137724550898203,0.068625992063492,"(1025,)","(665, 72000)","(167, 72000)",knn
15,lpc,3,1.0,2048,3,0.0958083832335329,0.0647659632034632,"(2049,)","(665, 72000)","(167, 72000)",knn
0,lpc,2,0.0,256,3,0.2896551724137931,0.2556011458584988,"(257,)","(1157, 48000)","(290, 48000)",knn
1,lpc,2,0.0,512,3,0.1862068965517241,0.1484447699291449,"(513,)","(1157, 48000)","(290, 48000)",knn
2,lpc,2,0.0,1024,3,0.1310344827586207,0.1079444683856448,"(1025,)","(1157, 48000)","(290, 48000)",knn
3,lpc,2,0.0,2048,3,0.1068965517241379,0.0832536676286676,"(2049,)","(1157, 48000)","(290, 48000)",knn
4,lpc,2,0.25,256,3,0.2413793103448276,0.1879444918507418,"(257,)","(1157, 48000)","(290, 48000)",knn
5,lpc,2,0.25,512,3,0.1344827586206896,0.0991950757575757,"(513,)","(1157, 48000)","(290, 48000)",knn
6,lpc,2,0.25,1024,3,0.1379310344827586,0.1047330948372615,"(1025,)","(1157, 48000)","(290, 48000)",knn
7,lpc,2,0.25,2048,3,0.1137931034482758,0.0817837988569695,"(2049,)","(1157, 48000)","(290, 48000)",knn
8,lpc,2,0.5,256,3,0.2379310344827586,0.1864200979332558,"(257,)","(1157, 48000)","(290, 48000)",knn
9,lpc,2,0.5,512,3,0.1275862068965517,0.0910074665831244,"(513,)","(1157, 48000)","(290, 48000)",knn
10,lpc,2,0.5,1024,3,0.1275862068965517,0.0998611129367708,"(1025,)","(1157, 48000)","(290, 48000)",knn
11,lpc,2,0.5,2048,3,0.1172413793103448,0.0912793225293225,"(2049,)","(1157, 48000)","(290, 48000)",knn
12,lpc,2,1.0,256,3,0.2448275862068965,0.189455662801251,"(257,)","(1157, 48000)","(290, 48000)",knn
13,lpc,2,1.0,512,3,0.1275862068965517,0.0903497379813169,"(513,)","(1157, 48000)","(290, 48000)",knn
14,lpc,2,1.0,1024,3,0.1241379310344827,0.0975952929870717,"(1025,)","(1157, 48000)","(290, 48000)",knn
15,lpc,2,1.0,2048,3,0.1137931034482758,0.0857608826358826,"(2049,)","(1157, 48000)","(290, 48000)",knn
0,lpc,1,0.0,256,3,0.2266666666666666,0.2119316525488607,"(257,)","(2696, 24000)","(675, 24000)",knn
1,lpc,1,0.0,512,3,0.1392592592592592,0.1282106931335373,"(513,)","(2696, 24000)","(675, 24000)",knn
2,lpc,1,0.0,1024,3,0.1007407407407407,0.0847040805132042,"(1025,)","(2696, 24000)","(675, 24000)",knn
3,lpc,1,0.0,2048,3,0.0844444444444444,0.0707693214428853,"(2049,)","(2696, 24000)","(675, 24000)",knn
4,lpc,1,0.25,256,3,0.2059259259259259,0.1807036998028812,"(257,)","(2696, 24000)","(675, 24000)",knn
5,lpc,1,0.25,512,3,0.1125925925925925,0.0833265756688454,"(513,)","(2696, 24000)","(675, 24000)",knn
6,lpc,1,0.25,1024,3,0.0962962962962963,0.0778461967242,"(1025,)","(2696, 24000)","(675, 24000)",knn
7,lpc,1,0.25,2048,3,0.0859259259259259,0.069339291610424,"(2049,)","(2696, 24000)","(675, 24000)",knn
8,lpc,1,0.5,256,3,0.1985185185185185,0.1760912946022473,"(257,)","(2696, 24000)","(675, 24000)",knn
9,lpc,1,0.5,512,3,0.1155555555555555,0.0874110956394092,"(513,)","(2696, 24000)","(675, 24000)",knn
10,lpc,1,0.5,1024,3,0.0948148148148148,0.0707852080502884,"(1025,)","(2696, 24000)","(675, 24000)",knn
11,lpc,1,0.5,2048,3,0.0844444444444444,0.0670046067635565,"(2049,)","(2696, 24000)","(675, 24000)",knn
12,lpc,1,1.0,256,3,0.1985185185185185,0.1789168794589516,"(257,)","(2696, 24000)","(675, 24000)",knn
13,lpc,1,1.0,512,3,0.1185185185185185,0.0932656845355867,"(513,)","(2696, 24000)","(675, 24000)",knn
14,lpc,1,1.0,1024,3,0.0933333333333333,0.0728036541957809,"(1025,)","(2696, 24000)","(675, 24000)",knn
15,lpc,1,1.0,2048,3,0.0844444444444444,0.0697427557448474,"(2049,)","(2696, 24000)","(675, 24000)",knn
