feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,1,0.0,256,3,0.22666666666666666,0.21193165254886073,"(257,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.0,512,3,0.13925925925925925,0.1282106931335373,"(513,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.0,1024,3,0.10074074074074074,0.08470408051320429,"(1025,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.0,2048,3,0.08444444444444445,0.07076932144288535,"(2049,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.25,256,3,0.20592592592592593,0.18070369980288126,"(257,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.25,512,3,0.11259259259259259,0.08332657566884544,"(513,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.25,1024,3,0.0962962962962963,0.07784619672420005,"(1025,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.25,2048,3,0.08592592592592592,0.06933929161042406,"(2049,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.5,256,3,0.1985185185185185,0.17609129460224734,"(257,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.5,512,3,0.11555555555555555,0.08741109563940924,"(513,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.5,1024,3,0.09481481481481482,0.07078520805028841,"(1025,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.5,2048,3,0.08444444444444445,0.0670046067635565,"(2049,)","(2696, 24000)","(675, 24000)",knn
lpc,1,1.0,256,3,0.1985185185185185,0.1789168794589516,"(257,)","(2696, 24000)","(675, 24000)",knn
lpc,1,1.0,512,3,0.11851851851851852,0.09326568453558677,"(513,)","(2696, 24000)","(675, 24000)",knn
lpc,1,1.0,1024,3,0.09333333333333334,0.0728036541957809,"(1025,)","(2696, 24000)","(675, 24000)",knn
lpc,1,1.0,2048,3,0.08444444444444445,0.06974275574484742,"(2049,)","(2696, 24000)","(675, 24000)",knn
