,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,mfcc,3,0.0,10,3,0.4131736526946107,0.3578081232492997,"(10, 141)","(665, 72000)","(167, 72000)",knn
1,mfcc,3,0.0,18,3,0.5149700598802395,0.4780410561660561,"(18, 141)","(665, 72000)","(167, 72000)",knn
2,mfcc,3,0.0,26,3,0.5389221556886228,0.5107662302974804,"(26, 141)","(665, 72000)","(167, 72000)",knn
3,mfcc,3,0.0,34,3,0.5269461077844312,0.498817501942502,"(34, 141)","(665, 72000)","(167, 72000)",knn
4,mfcc,3,0.0,40,3,0.5389221556886228,0.5019249847374847,"(40, 141)","(665, 72000)","(167, 72000)",knn
5,mfcc,3,0.25,10,3,0.3712574850299401,0.3525793650793651,"(10, 141)","(665, 72000)","(167, 72000)",knn
6,mfcc,3,0.25,18,3,0.4491017964071856,0.4219411375661375,"(18, 141)","(665, 72000)","(167, 72000)",knn
7,mfcc,3,0.25,26,3,0.5269461077844312,0.5049189814814814,"(26, 141)","(665, 72000)","(167, 72000)",knn
8,mfcc,3,0.25,34,3,0.5568862275449101,0.5354993386243386,"(34, 141)","(665, 72000)","(167, 72000)",knn
9,mfcc,3,0.25,40,3,0.5389221556886228,0.5233563311688312,"(40, 141)","(665, 72000)","(167, 72000)",knn
10,mfcc,3,0.5,10,3,0.3652694610778443,0.3071428571428571,"(10, 141)","(665, 72000)","(167, 72000)",knn
11,mfcc,3,0.5,18,3,0.4610778443113772,0.4199239417989417,"(18, 141)","(665, 72000)","(167, 72000)",knn
12,mfcc,3,0.5,26,3,0.5029940119760479,0.4683531746031746,"(26, 141)","(665, 72000)","(167, 72000)",knn
13,mfcc,3,0.5,34,3,0.5029940119760479,0.4673611111111111,"(34, 141)","(665, 72000)","(167, 72000)",knn
14,mfcc,3,0.5,40,3,0.5089820359281437,0.4838789682539682,"(40, 141)","(665, 72000)","(167, 72000)",knn
15,mfcc,3,1.0,10,3,0.2694610778443114,0.2139813311688311,"(10, 141)","(665, 72000)","(167, 72000)",knn
16,mfcc,3,1.0,18,3,0.4431137724550898,0.3876240079365079,"(18, 141)","(665, 72000)","(167, 72000)",knn
17,mfcc,3,1.0,26,3,0.4730538922155688,0.4430142195767195,"(26, 141)","(665, 72000)","(167, 72000)",knn
