feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,10,3,0.39655172413793105,0.381125992063492,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,18,3,0.47586206896551725,0.4593188061938062,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,26,3,0.49310344827586206,0.48370425870425876,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,34,3,0.47586206896551725,0.4787545152741231,"(34, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,40,3,0.4896551724137931,0.48659839202942656,"(40, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,10,3,0.2827586206896552,0.25522735366485366,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,18,3,0.36206896551724144,0.3325204385648464,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,26,3,0.41379310344827586,0.38029698242933535,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,34,3,0.43448275862068964,0.40909390403276275,"(34, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,40,3,0.4586206896551724,0.4426609848484848,"(40, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,10,3,0.25862068965517243,0.20343527570211006,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,18,3,0.3482758620689655,0.3116317097934745,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,26,3,0.38275862068965516,0.36141219891219895,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,34,3,0.3793103448275862,0.3536011027537211,"(34, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,40,3,0.40689655172413786,0.3810766201391201,"(40, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,10,3,0.23103448275862068,0.1830515855332032,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,18,3,0.3103448275862069,0.2597339520859258,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,26,3,0.2896551724137931,0.252084286799434,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,34,3,0.3103448275862069,0.2782869575811509,"(34, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,40,3,0.30689655172413793,0.2694900347473877,"(40, 94)","(1157, 48000)","(290, 48000)",knn
