,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0.0,fft,3,0.0,256,0,0.0718562874251497,0.0427455357142857,"(256,)","(665, 72000)","(167, 72000)",knn
1,1.0,fft,3,0.0,512,0,0.0838323353293413,0.0629298941798941,"(512,)","(665, 72000)","(167, 72000)",knn
2,2.0,fft,3,0.0,1024,0,0.0958083832335329,0.0642170329670329,"(1024,)","(665, 72000)","(167, 72000)",knn
3,3.0,fft,3,0.0,2048,0,0.1077844311377245,0.0637853057889822,"(2048,)","(665, 72000)","(167, 72000)",knn
4,0.0,fft,2,0.0,256,0,0.0793103448275862,0.0617050773300773,"(256,)","(1157, 48000)","(290, 48000)",knn
5,1.0,fft,2,0.0,512,0,0.0448275862068965,0.0367905242905242,"(512,)","(1157, 48000)","(290, 48000)",knn
6,2.0,fft,2,0.0,1024,0,0.0758620689655172,0.0619871447996447,"(1024,)","(1157, 48000)","(290, 48000)",knn
7,3.0,fft,2,0.0,2048,0,0.1,0.0882240444740444,"(2048,)","(1157, 48000)","(290, 48000)",knn
8,0.0,fft,1,0.0,256,0,0.0681481481481481,0.0579997207420163,"(256,)","(2696, 24000)","(675, 24000)",knn
9,1.0,fft,1,0.0,512,0,0.0725925925925926,0.066677080094239,"(512,)","(2696, 24000)","(675, 24000)",knn
10,2.0,fft,1,0.0,1024,0,0.1096296296296296,0.0958691656968443,"(1024,)","(2696, 24000)","(675, 24000)",knn
11,3.0,fft,1,0.0,2048,0,0.1229629629629629,0.1020479805116544,"(2048,)","(2696, 24000)","(675, 24000)",knn
0,,fft,3,0.0,256,0,0.0718562874251497,0.0427455357142857,"(256,)","(665, 72000)","(167, 72000)",knn
1,,fft,3,0.0,512,0,0.0838323353293413,0.0629298941798941,"(512,)","(665, 72000)","(167, 72000)",knn
2,,fft,3,0.0,1024,0,0.0958083832335329,0.0642170329670329,"(1024,)","(665, 72000)","(167, 72000)",knn
3,,fft,3,0.0,2048,0,0.1077844311377245,0.0637853057889822,"(2048,)","(665, 72000)","(167, 72000)",knn
0,,fft,2,0.0,256,0,0.0793103448275862,0.0617050773300773,"(256,)","(1157, 48000)","(290, 48000)",knn
1,,fft,2,0.0,512,0,0.0448275862068965,0.0367905242905242,"(512,)","(1157, 48000)","(290, 48000)",knn
2,,fft,2,0.0,1024,0,0.0758620689655172,0.0619871447996447,"(1024,)","(1157, 48000)","(290, 48000)",knn
3,,fft,2,0.0,2048,0,0.1,0.0882240444740444,"(2048,)","(1157, 48000)","(290, 48000)",knn
0,,fft,1,0.0,256,0,0.0681481481481481,0.0579997207420163,"(256,)","(2696, 24000)","(675, 24000)",knn
1,,fft,1,0.0,512,0,0.0725925925925926,0.066677080094239,"(512,)","(2696, 24000)","(675, 24000)",knn
2,,fft,1,0.0,1024,0,0.1096296296296296,0.0958691656968443,"(1024,)","(2696, 24000)","(675, 24000)",knn
3,,fft,1,0.0,2048,0,0.1229629629629629,0.1020479805116544,"(2048,)","(2696, 24000)","(675, 24000)",knn
