,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0.0,lpc,3,0.0,256,0,0.18562874251497,0.143262987012987,"(257,)","(665, 72000)","(167, 72000)",knn
1,1.0,lpc,3,0.0,512,0,0.1077844311377245,0.078125,"(513,)","(665, 72000)","(167, 72000)",knn
2,2.0,lpc,3,0.0,1024,0,0.0898203592814371,0.0493105158730158,"(1025,)","(665, 72000)","(167, 72000)",knn
3,3.0,lpc,3,0.0,2048,0,0.0778443113772455,0.0542585784313725,"(2049,)","(665, 72000)","(167, 72000)",knn
4,0.0,lpc,2,0.0,256,0,0.2310344827586206,0.1914932868057868,"(257,)","(1157, 48000)","(290, 48000)",knn
5,1.0,lpc,2,0.0,512,0,0.1413793103448276,0.1071018454871009,"(513,)","(1157, 48000)","(290, 48000)",knn
6,2.0,lpc,2,0.0,1024,0,0.1137931034482758,0.0923517059207848,"(1025,)","(1157, 48000)","(290, 48000)",knn
7,3.0,lpc,2,0.0,2048,0,0.1,0.082091763912416,"(2049,)","(1157, 48000)","(290, 48000)",knn
8,0.0,lpc,1,0.0,256,0,0.1985185185185185,0.1809730396562447,"(257,)","(2696, 24000)","(675, 24000)",knn
9,1.0,lpc,1,0.0,512,0,0.1155555555555555,0.0940530717152847,"(513,)","(2696, 24000)","(675, 24000)",knn
10,2.0,lpc,1,0.0,1024,0,0.0992592592592592,0.0865199838126609,"(1025,)","(2696, 24000)","(675, 24000)",knn
11,3.0,lpc,1,0.0,2048,0,0.0785185185185185,0.0690015915742176,"(2049,)","(2696, 24000)","(675, 24000)",knn
0,,lpc,3,0.0,256,0,0.18562874251497,0.143262987012987,"(257,)","(665, 72000)","(167, 72000)",knn
1,,lpc,3,0.0,512,0,0.1077844311377245,0.078125,"(513,)","(665, 72000)","(167, 72000)",knn
2,,lpc,3,0.0,1024,0,0.0898203592814371,0.0493105158730158,"(1025,)","(665, 72000)","(167, 72000)",knn
3,,lpc,3,0.0,2048,0,0.0778443113772455,0.0542585784313725,"(2049,)","(665, 72000)","(167, 72000)",knn
0,,lpc,2,0.0,256,0,0.2310344827586206,0.1914932868057868,"(257,)","(1157, 48000)","(290, 48000)",knn
1,,lpc,2,0.0,512,0,0.1413793103448276,0.1071018454871009,"(513,)","(1157, 48000)","(290, 48000)",knn
2,,lpc,2,0.0,1024,0,0.1137931034482758,0.0923517059207848,"(1025,)","(1157, 48000)","(290, 48000)",knn
3,,lpc,2,0.0,2048,0,0.1,0.082091763912416,"(2049,)","(1157, 48000)","(290, 48000)",knn
0,,lpc,1,0.0,256,0,0.1985185185185185,0.1809730396562447,"(257,)","(2696, 24000)","(675, 24000)",knn
1,,lpc,1,0.0,512,0,0.1155555555555555,0.0940530717152847,"(513,)","(2696, 24000)","(675, 24000)",knn
2,,lpc,1,0.0,1024,0,0.0992592592592592,0.0865199838126609,"(1025,)","(2696, 24000)","(675, 24000)",knn
3,,lpc,1,0.0,2048,0,0.0785185185185185,0.0690015915742176,"(2049,)","(2696, 24000)","(675, 24000)",knn
