,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0.0,mfcc,3,0.0,10,0,0.2395209580838323,0.1725338203463203,"(10, 141)","(665, 72000)","(167, 72000)",knn
1,1.0,mfcc,3,0.0,18,0,0.3652694610778443,0.2859432234432235,"(18, 141)","(665, 72000)","(167, 72000)",knn
2,2.0,mfcc,3,0.0,26,0,0.3592814371257484,0.2884907916157915,"(26, 141)","(665, 72000)","(167, 72000)",knn
3,3.0,mfcc,3,0.0,34,0,0.3473053892215569,0.2723080458967555,"(34, 141)","(665, 72000)","(167, 72000)",knn
4,4.0,mfcc,3,0.0,40,0,0.311377245508982,0.2396621973705307,"(40, 141)","(665, 72000)","(167, 72000)",knn
5,0.0,mfcc,2,0.0,10,0,0.2482758620689655,0.2066789852659417,"(10, 94)","(1157, 48000)","(290, 48000)",knn
6,1.0,mfcc,2,0.0,18,0,0.3620689655172414,0.3059906422338487,"(18, 94)","(1157, 48000)","(290, 48000)",knn
7,2.0,mfcc,2,0.0,26,0,0.3482758620689655,0.3040324858042411,"(26, 94)","(1157, 48000)","(290, 48000)",knn
8,3.0,mfcc,2,0.0,34,0,0.3241379310344827,0.2781367122056048,"(34, 94)","(1157, 48000)","(290, 48000)",knn
9,4.0,mfcc,2,0.0,40,0,0.3206896551724137,0.2781582014869366,"(40, 94)","(1157, 48000)","(290, 48000)",knn
10,0.0,mfcc,1,0.0,10,0,0.24,0.20823757393078,"(10, 47)","(2696, 24000)","(675, 24000)",knn
11,1.0,mfcc,1,0.0,18,0,0.317037037037037,0.3036473122852506,"(18, 47)","(2696, 24000)","(675, 24000)",knn
12,2.0,mfcc,1,0.0,26,0,0.3866666666666666,0.3893008795207171,"(26, 47)","(2696, 24000)","(675, 24000)",knn
13,3.0,mfcc,1,0.0,34,0,0.36,0.3589046037554264,"(34, 47)","(2696, 24000)","(675, 24000)",knn
14,4.0,mfcc,1,0.0,40,0,0.3303703703703703,0.3240451576317257,"(40, 47)","(2696, 24000)","(675, 24000)",knn
0,,mfcc,3,0.0,10,0,0.2395209580838323,0.1725338203463203,"(10, 141)","(665, 72000)","(167, 72000)",knn
1,,mfcc,3,0.0,18,0,0.3652694610778443,0.2859432234432235,"(18, 141)","(665, 72000)","(167, 72000)",knn
2,,mfcc,3,0.0,26,0,0.3592814371257484,0.2884907916157915,"(26, 141)","(665, 72000)","(167, 72000)",knn
3,,mfcc,3,0.0,34,0,0.3473053892215569,0.2723080458967555,"(34, 141)","(665, 72000)","(167, 72000)",knn
4,,mfcc,3,0.0,40,0,0.311377245508982,0.2396621973705307,"(40, 141)","(665, 72000)","(167, 72000)",knn
0,,mfcc,2,0.0,10,0,0.2482758620689655,0.2066789852659417,"(10, 94)","(1157, 48000)","(290, 48000)",knn
1,,mfcc,2,0.0,18,0,0.3620689655172414,0.3059906422338487,"(18, 94)","(1157, 48000)","(290, 48000)",knn
2,,mfcc,2,0.0,26,0,0.3482758620689655,0.3040324858042411,"(26, 94)","(1157, 48000)","(290, 48000)",knn
3,,mfcc,2,0.0,34,0,0.3241379310344827,0.2781367122056048,"(34, 94)","(1157, 48000)","(290, 48000)",knn
4,,mfcc,2,0.0,40,0,0.3206896551724137,0.2781582014869366,"(40, 94)","(1157, 48000)","(290, 48000)",knn
0,,mfcc,1,0.0,10,0,0.24,0.20823757393078,"(10, 47)","(2696, 24000)","(675, 24000)",knn
1,,mfcc,1,0.0,18,0,0.317037037037037,0.3036473122852506,"(18, 47)","(2696, 24000)","(675, 24000)",knn
2,,mfcc,1,0.0,26,0,0.3866666666666666,0.3893008795207171,"(26, 47)","(2696, 24000)","(675, 24000)",knn
3,,mfcc,1,0.0,34,0,0.36,0.3589046037554264,"(34, 47)","(2696, 24000)","(675, 24000)",knn
4,,mfcc,1,0.0,40,0,0.3303703703703703,0.3240451576317257,"(40, 47)","(2696, 24000)","(675, 24000)",knn
