,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0,lpc,3,0.0,256,0,0.3473053892215569,0.286780753968254,"(257,)","(665, 72000)","(167, 72000)",mlp
1,0,lpc,2,0.0,256,0,0.4068965517241378,0.383279162966663,"(257,)","(1157, 48000)","(290, 48000)",mlp
2,0,lpc,1,0.0,256,0,0.3511111111111111,0.3470959543532189,"(257,)","(2696, 24000)","(675, 24000)",mlp
3,0,lpc,3,0.0,512,0,0.2874251497005988,0.2417410714285714,"(513,)","(665, 72000)","(167, 72000)",mlp
4,0,lpc,2,0.0,512,0,0.3137931034482759,0.2832311207311207,"(513,)","(1157, 48000)","(290, 48000)",mlp
5,0,lpc,1,0.0,512,0,0.3244444444444444,0.3118475823139136,"(513,)","(2696, 24000)","(675, 24000)",mlp
6,0,lpc,3,0.0,1024,0,0.2095808383233532,0.1674355158730158,"(1025,)","(665, 72000)","(167, 72000)",mlp
7,0,lpc,2,0.0,1024,0,0.2758620689655172,0.248306727994228,"(1025,)","(1157, 48000)","(290, 48000)",mlp
8,0,lpc,1,0.0,1024,0,0.2874074074074074,0.2775269777534819,"(1025,)","(2696, 24000)","(675, 24000)",mlp
9,0,lpc,3,0.0,2048,0,0.2035928143712574,0.1517609126984127,"(2049,)","(665, 72000)","(167, 72000)",mlp
10,0,lpc,2,0.0,2048,0,0.2172413793103448,0.1846052354687223,"(2049,)","(1157, 48000)","(290, 48000)",mlp
11,0,lpc,1,0.0,2048,0,0.2459259259259259,0.2293379830456867,"(2049,)","(2696, 24000)","(675, 24000)",mlp
