,Unnamed: 0,Unnamed: 0.1,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0,0,mfcc,3,0.0,10,0,0.5868263473053892,0.5085813492063492,"(10, 141)","(665, 72000)","(167, 72000)",mlp
1,1,0,mfcc,2,0.0,10,0,0.6379310344827587,0.6093607202982203,"(10, 94)","(1157, 48000)","(290, 48000)",mlp
2,2,0,mfcc,1,0.0,10,0,0.6133333333333333,0.6003089725693921,"(10, 47)","(2696, 24000)","(675, 24000)",mlp
3,3,0,mfcc,3,0.0,18,0,0.6347305389221557,0.576984126984127,"(18, 141)","(665, 72000)","(167, 72000)",mlp
4,4,0,mfcc,2,0.0,18,0,0.7448275862068966,0.7180006336256337,"(18, 94)","(1157, 48000)","(290, 48000)",mlp
5,5,0,mfcc,1,0.0,18,0,0.7718518518518519,0.7656616527857821,"(18, 47)","(2696, 24000)","(675, 24000)",mlp
6,6,0,mfcc,3,0.0,26,0,0.688622754491018,0.6344742063492064,"(26, 141)","(665, 72000)","(167, 72000)",mlp
7,7,0,mfcc,2,0.0,26,0,0.7517241379310344,0.7343486374736375,"(26, 94)","(1157, 48000)","(290, 48000)",mlp
8,8,0,mfcc,1,0.0,26,0,0.8162962962962963,0.8125709640618065,"(26, 47)","(2696, 24000)","(675, 24000)",mlp
9,9,0,mfcc,3,0.0,34,0,0.6586826347305389,0.5893849206349205,"(34, 141)","(665, 72000)","(167, 72000)",mlp
10,10,0,mfcc,2,0.0,34,0,0.7758620689655173,0.7439957611832612,"(34, 94)","(1157, 48000)","(290, 48000)",mlp
11,11,0,mfcc,1,0.0,34,0,0.8414814814814816,0.8371769529637977,"(34, 47)","(2696, 24000)","(675, 24000)",mlp
12,12,0,mfcc,3,0.0,40,0,0.7365269461077845,0.673983134920635,"(40, 141)","(665, 72000)","(167, 72000)",mlp
13,13,0,mfcc,2,0.0,40,0,0.8068965517241379,0.7856789622414623,"(40, 94)","(1157, 48000)","(290, 48000)",mlp
14,14,0,mfcc,1,0.0,40,0,0.8311111111111111,0.8265982169779788,"(40, 47)","(2696, 24000)","(675, 24000)",mlp

