,Unnamed: 0,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
0,0.0,stft,1,0.0,512,0,0.4044444444444444,0.3882704496842503,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
1,0.0,stft,3,0.0,1024,0,0.2694610778443114,0.2046278374403374,"(513, 282)","(665, 72000)","(167, 72000)",mlp
2,0.0,stft,2,0.0,1024,0,0.3103448275862069,0.2802586880711881,"(513, 188)","(1157, 48000)","(290, 48000)",mlp
3,0.0,stft,1,0.0,1024,0,0.4177777777777778,0.4042803753687621,"(513, 94)","(2696, 24000)","(675, 24000)",mlp
4,0.0,stft,3,0.0,2048,0,0.3053892215568862,0.2426644536019535,"(1025, 141)","(665, 72000)","(167, 72000)",mlp
5,0.0,stft,2,0.0,2048,0,0.3034482758620689,0.2850407082024729,"(1025, 94)","(1157, 48000)","(290, 48000)",mlp
6,0.0,stft,1,0.0,2048,0,0.4251851851851851,0.402509002578662,"(1025, 47)","(2696, 24000)","(675, 24000)",mlp
0,,stft,3,0.0,256,0,0.2155688622754491,0.1640143999518999,"(129, 1126)","(665, 72000)","(167, 72000)",mlp
0,,stft,2,0.0,256,0,0.2275862068965517,0.1883916396784043,"(129, 751)","(1157, 48000)","(290, 48000)",mlp
0,,stft,1,0.0,256,0,0.36,0.3418410859424468,"(129, 376)","(2696, 24000)","(675, 24000)",mlp
0,,stft,3,0.0,512,0,0.1976047904191616,0.1313664923039923,"(257, 563)","(665, 72000)","(167, 72000)",mlp
0,,stft,2,0.0,512,0,0.3068965517241379,0.289259265040515,"(257, 376)","(1157, 48000)","(290, 48000)",mlp
0,0.0,stft,1,0.0,512,0,0.4044444444444444,0.3882704496842503,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
1,0.0,stft,3,0.0,1024,0,0.2694610778443114,0.2046278374403374,"(513, 282)","(665, 72000)","(167, 72000)",mlp
2,0.0,stft,2,0.0,1024,0,0.3103448275862069,0.2802586880711881,"(513, 188)","(1157, 48000)","(290, 48000)",mlp
3,0.0,stft,1,0.0,1024,0,0.4177777777777778,0.4042803753687621,"(513, 94)","(2696, 24000)","(675, 24000)",mlp
4,0.0,stft,3,0.0,2048,0,0.3053892215568862,0.2426644536019535,"(1025, 141)","(665, 72000)","(167, 72000)",mlp
5,0.0,stft,2,0.0,2048,0,0.3034482758620689,0.2850407082024729,"(1025, 94)","(1157, 48000)","(290, 48000)",mlp
6,0.0,stft,1,0.0,2048,0,0.4251851851851851,0.402509002578662,"(1025, 47)","(2696, 24000)","(675, 24000)",mlp
