,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,fft,3,0.0,256,0,0.0658682634730539,0.03583391690009337,"(256,)","(665, 72000)","(167, 72000)"
1,fft,3,0.0,512,0,0.05389221556886228,0.04668560606060606,"(512,)","(665, 72000)","(167, 72000)"
2,fft,3,0.0,1024,0,0.1437125748502994,0.11846064814814812,"(1024,)","(665, 72000)","(167, 72000)"
3,fft,3,0.0,2048,0,0.16766467065868262,0.13561658249158248,"(2048,)","(665, 72000)","(167, 72000)"
4,fft,2,0.0,256,0,0.044827586206896544,0.024103707139421424,"(256,)","(1157, 48000)","(290, 48000)"
5,fft,2,0.0,512,0,0.06206896551724138,0.04849916469982259,"(512,)","(1157, 48000)","(290, 48000)"
6,fft,2,0.0,1024,0,0.11724137931034483,0.09574464886964888,"(1024,)","(1157, 48000)","(290, 48000)"
7,fft,2,0.0,2048,0,0.1482758620689655,0.13330928330928332,"(2048,)","(1157, 48000)","(290, 48000)"
8,fft,1,0.0,256,0,0.0874074074074074,0.07504110298761052,"(256,)","(2696, 24000)","(675, 24000)"
9,fft,1,0.0,512,0,0.09481481481481482,0.07729173656901023,"(512,)","(2696, 24000)","(675, 24000)"
10,fft,1,0.0,1024,0,0.13185185185185186,0.10432764561656309,"(1024,)","(2696, 24000)","(675, 24000)"
11,fft,1,0.0,2048,0,0.15259259259259259,0.1318140856475071,"(2048,)","(2696, 24000)","(675, 24000)"
