,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,stft,3,0.0,256,0,0.2694610778443114,0.1978709539371304,"(129, 1126)","(665, 72000)","(167, 72000)"
1,stft,3,0.0,512,0,0.2634730538922156,0.19784226190476187,"(257, 563)","(665, 72000)","(167, 72000)"
2,stft,3,0.0,1024,0,0.2634730538922156,0.1960091011042098,"(513, 282)","(665, 72000)","(167, 72000)"
3,stft,3,0.0,2048,0,0.2874251497005988,0.23650976640107077,"(1025, 141)","(665, 72000)","(167, 72000)"
4,stft,2,0.0,256,0,0.32413793103448274,0.2941401157393804,"(129, 751)","(1157, 48000)","(290, 48000)"
5,stft,2,0.0,512,0,0.35862068965517235,0.3466390635508283,"(257, 376)","(1157, 48000)","(290, 48000)"
6,stft,2,0.0,1024,0,0.3724137931034483,0.34208852490102487,"(513, 188)","(1157, 48000)","(290, 48000)"
7,stft,2,0.0,2048,0,0.38275862068965516,0.3701264302826803,"(1025, 94)","(1157, 48000)","(290, 48000)"
8,stft,1,0.0,256,0,0.38222222222222224,0.3730085899656095,"(129, 376)","(2696, 24000)","(675, 24000)"
9,stft,1,0.0,512,0,0.3851851851851852,0.37671321095437454,"(257, 188)","(2696, 24000)","(675, 24000)"
10,stft,1,0.0,1024,0,0.3985185185185185,0.38808441191797494,"(513, 94)","(2696, 24000)","(675, 24000)"
11,stft,1,0.0,2048,0,0.43851851851851853,0.4295057496053545,"(1025, 47)","(2696, 24000)","(675, 24000)"
