,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,lpc,3,0.0,256,0,0.31736526946107785,0.2707589285714286,"(257,)","(665, 72000)","(167, 72000)"
1,lpc,3,0.0,512,0,0.30538922155688625,0.24756944444444443,"(513,)","(665, 72000)","(167, 72000)"
2,lpc,3,0.0,1024,0,0.25149700598802394,0.19602498196248197,"(1025,)","(665, 72000)","(167, 72000)"
3,lpc,3,0.0,2048,0,0.17964071856287422,0.11990891053391052,"(2049,)","(665, 72000)","(167, 72000)"
4,lpc,2,0.0,256,0,0.38275862068965516,0.3453407703407703,"(257,)","(1157, 48000)","(290, 48000)"
5,lpc,2,0.0,512,0,0.3103448275862069,0.28873782467532466,"(513,)","(1157, 48000)","(290, 48000)"
6,lpc,2,0.0,1024,0,0.2827586206896552,0.2488444715007215,"(1025,)","(1157, 48000)","(290, 48000)"
7,lpc,2,0.0,2048,0,0.20000000000000004,0.1802048664447858,"(2049,)","(1157, 48000)","(290, 48000)"
8,lpc,1,0.0,256,0,0.3748148148148148,0.35468871356255255,"(257,)","(2696, 24000)","(675, 24000)"
9,lpc,1,0.0,512,0,0.3377777777777778,0.31942201985157237,"(513,)","(2696, 24000)","(675, 24000)"
10,lpc,1,0.0,1024,0,0.29333333333333333,0.27521800924502754,"(1025,)","(2696, 24000)","(675, 24000)"
11,lpc,1,0.0,2048,0,0.2814814814814815,0.2592893128088814,"(2049,)","(2696, 24000)","(675, 24000)"
