,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,mfcc,4,0.0,10,10,0.7560975609756099,0.6963272543059777,"(10, 188)","(656, 96000)","(164, 96000)"
1,mfcc,4,0.0,18,10,0.8536585365853658,0.8095744680851064,"(18, 188)","(656, 96000)","(164, 96000)"
2,mfcc,4,0.0,26,10,0.8414634146341463,0.7945795339412359,"(26, 188)","(656, 96000)","(164, 96000)"
3,mfcc,4,0.0,34,10,0.8475609756097561,0.8045592705167174,"(34, 188)","(656, 96000)","(164, 96000)"
4,mfcc,4,0.0,40,10,0.8414634146341463,0.7991388044579534,"(40, 188)","(656, 96000)","(164, 96000)"
5,mfcc,4,0.25,10,10,0.21341463414634146,0.16325055061897165,"(10, 188)","(656, 96000)","(164, 96000)"
6,mfcc,4,0.25,18,10,0.25609756097560976,0.19845364741641341,"(18, 188)","(656, 96000)","(164, 96000)"
7,mfcc,4,0.25,26,10,0.29878048780487804,0.24832789146898893,"(26, 188)","(656, 96000)","(164, 96000)"
8,mfcc,4,0.25,34,10,0.31097560975609756,0.25707274275729414,"(34, 188)","(656, 96000)","(164, 96000)"
9,mfcc,4,0.25,40,10,0.38414634146341464,0.33107058426207364,"(40, 188)","(656, 96000)","(164, 96000)"
10,mfcc,4,0.5,10,10,0.20121951219512194,0.15019086176980914,"(10, 188)","(656, 96000)","(164, 96000)"
11,mfcc,4,0.5,18,10,0.23780487804878048,0.17999869342172223,"(18, 188)","(656, 96000)","(164, 96000)"
12,mfcc,4,0.5,26,10,0.2865853658536585,0.2412688931149507,"(26, 188)","(656, 96000)","(164, 96000)"
13,mfcc,4,0.5,34,10,0.32926829268292684,0.2745703052336344,"(34, 188)","(656, 96000)","(164, 96000)"
14,mfcc,4,0.5,40,10,0.3475609756097561,0.30174236174499663,"(40, 188)","(656, 96000)","(164, 96000)"
15,mfcc,4,0.75,10,10,0.17682926829268292,0.11511803985488196,"(10, 188)","(656, 96000)","(164, 96000)"
16,mfcc,4,0.75,18,10,0.23780487804878048,0.18638359276657146,"(18, 188)","(656, 96000)","(164, 96000)"
17,mfcc,4,0.75,26,10,0.29878048780487804,0.24690267144897934,"(26, 188)","(656, 96000)","(164, 96000)"
18,mfcc,4,0.75,34,10,0.3048780487804878,0.2511283043197937,"(34, 188)","(656, 96000)","(164, 96000)"
19,mfcc,4,0.75,40,10,0.35365853658536583,0.2990797028031071,"(40, 188)","(656, 96000)","(164, 96000)"
20,mfcc,4,1.0,10,10,0.18902439024390247,0.1502551249919671,"(10, 188)","(656, 96000)","(164, 96000)"
21,mfcc,4,1.0,18,10,0.25,0.19593119646311136,"(18, 188)","(656, 96000)","(164, 96000)"
22,mfcc,4,1.0,26,10,0.3170731707317073,0.26668951268450647,"(26, 188)","(656, 96000)","(164, 96000)"
23,mfcc,4,1.0,34,10,0.3048780487804878,0.25091262165730255,"(34, 188)","(656, 96000)","(164, 96000)"
24,mfcc,4,1.0,40,10,0.3597560975609756,0.3067958015606392,"(40, 188)","(656, 96000)","(164, 96000)"
25,mfcc,3,0.0,10,10,0.7563025210084033,0.7574652777777778,"(10, 141)","(951, 72000)","(238, 72000)"
26,mfcc,3,0.0,18,10,0.865546218487395,0.8542658730158731,"(18, 141)","(951, 72000)","(238, 72000)"
27,mfcc,3,0.0,26,10,0.865546218487395,0.8764963624338624,"(26, 141)","(951, 72000)","(238, 72000)"
28,mfcc,3,0.0,34,10,0.865546218487395,0.8666170634920634,"(34, 141)","(951, 72000)","(238, 72000)"
29,mfcc,3,0.0,40,10,0.8823529411764706,0.8819775132275133,"(40, 141)","(951, 72000)","(238, 72000)"
30,mfcc,3,0.25,10,10,0.16806722689075632,0.1524079459202431,"(10, 141)","(951, 72000)","(238, 72000)"
31,mfcc,3,0.25,18,10,0.16806722689075632,0.1266367024179524,"(18, 141)","(951, 72000)","(238, 72000)"
32,mfcc,3,0.25,26,10,0.2184873949579832,0.184030799244615,"(26, 141)","(951, 72000)","(238, 72000)"
33,mfcc,3,0.25,34,10,0.2605042016806723,0.22313324369178697,"(34, 141)","(951, 72000)","(238, 72000)"
34,mfcc,3,0.25,40,10,0.2857142857142857,0.24231663195478984,"(40, 141)","(951, 72000)","(238, 72000)"
35,mfcc,3,0.5,10,10,0.15546218487394958,0.12657213308028525,"(10, 141)","(951, 72000)","(238, 72000)"
36,mfcc,3,0.5,18,10,0.16806722689075632,0.13252898966818255,"(18, 141)","(951, 72000)","(238, 72000)"
