,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro
0,mfcc,1,0.0,10,10,0.5483870967741935,0.5400554154725659
1,mfcc,1,0.0,18,10,0.7185761957730811,0.7158058489162453
2,mfcc,1,0.0,26,10,0.7975528364849832,0.7949996516058638
3,mfcc,1,0.0,34,10,0.8197997775305895,0.8178649433339448
4,mfcc,1,0.0,40,10,0.8342602892102335,0.8339129425783912
5,mfcc,1,0.25,10,10,0.43159065628476084,0.4249454264424244
6,mfcc,1,0.25,18,10,0.6218020022246941,0.6090747743181849
7,mfcc,1,0.25,26,10,0.7041156840934372,0.6917558070132781
8,mfcc,1,0.25,34,10,0.728587319243604,0.7170602700499072
9,mfcc,1,0.25,40,10,0.7374860956618465,0.7287037505972788
10,mfcc,1,0.5,10,10,0.42825361512791993,0.42312355298141985
11,mfcc,1,0.5,18,10,0.6117908787541713,0.5958826946443103
12,mfcc,1,0.5,26,10,0.6863181312569522,0.6734087492457247
13,mfcc,1,0.5,34,10,0.7163515016685206,0.706150173011778
