,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,lpc,4,0.0,256,0,0.4573170731707317,0.39941520467836256,"(257,)","(656, 96000)","(164, 96000)"
1,lpc,4,0.0,512,0,0.3475609756097561,0.2911027568922306,"(513,)","(656, 96000)","(164, 96000)"
2,lpc,4,0.0,1024,0,0.2682926829268293,0.2287326149028277,"(1025,)","(656, 96000)","(164, 96000)"
3,lpc,4,0.0,2048,0,0.2073170731707317,0.15215538847117796,"(2049,)","(656, 96000)","(164, 96000)"
4,lpc,3,0.0,256,0,0.4327731092436975,0.4171108405483405,"(257,)","(951, 72000)","(238, 72000)"
5,lpc,3,0.0,512,0,0.3739495798319328,0.355210588023088,"(513,)","(951, 72000)","(238, 72000)"
6,lpc,3,0.0,1024,0,0.31092436974789917,0.26963246788614437,"(1025,)","(951, 72000)","(238, 72000)"
7,lpc,3,0.0,2048,0,0.25210084033613445,0.20756893569393567,"(2049,)","(951, 72000)","(238, 72000)"
8,lpc,2,0.0,256,0,0.3851851851851852,0.3678716589102619,"(257,)","(1618, 48000)","(405, 48000)"
9,lpc,2,0.0,512,0,0.3530864197530864,0.3369962213712214,"(513,)","(1618, 48000)","(405, 48000)"
10,lpc,2,0.0,1024,0,0.3333333333333333,0.3214311529183446,"(1025,)","(1618, 48000)","(405, 48000)"
11,lpc,2,0.0,2048,0,0.2419753086419753,0.21046701836175521,"(2049,)","(1618, 48000)","(405, 48000)"
12,lpc,1,0.0,256,0,0.3359288097886541,0.31619970073779036,"(257,)","(3594, 24000)","(899, 24000)"
13,lpc,1,0.0,512,0,0.3025583982202447,0.2956565169181633,"(513,)","(3594, 24000)","(899, 24000)"
14,lpc,1,0.0,1024,0,0.29699666295884314,0.2838222813720909,"(1025,)","(3594, 24000)","(899, 24000)"
15,lpc,1,0.0,2048,0,0.23804226918798665,0.22705025011921434,"(2049,)","(3594, 24000)","(899, 24000)"
