,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,mfcc,4,0.0,10,0,0.6402439024390244,0.5718591691995948,"(10, 188)","(656, 96000)","(164, 96000)"
1,mfcc,4,0.0,18,0,0.7378048780487805,0.6804626815265113,"(18, 188)","(656, 96000)","(164, 96000)"
2,mfcc,4,0.0,26,0,0.7621951219512195,0.693515704154002,"(26, 188)","(656, 96000)","(164, 96000)"
3,mfcc,4,0.0,34,0,0.7439024390243903,0.680597771023303,"(34, 188)","(656, 96000)","(164, 96000)"
4,mfcc,4,0.0,40,0,0.7378048780487805,0.6728470111448835,"(40, 188)","(656, 96000)","(164, 96000)"
5,mfcc,3,0.0,10,0,0.6554621848739496,0.6319113756613757,"(10, 141)","(951, 72000)","(238, 72000)"
6,mfcc,3,0.0,18,0,0.7689075630252101,0.7580274470899471,"(18, 141)","(951, 72000)","(238, 72000)"
7,mfcc,3,0.0,26,0,0.7731092436974791,0.770035866910867,"(26, 141)","(951, 72000)","(238, 72000)"
8,mfcc,3,0.0,34,0,0.7899159663865545,0.7774765743515744,"(34, 141)","(951, 72000)","(238, 72000)"
9,mfcc,3,0.0,40,0,0.7983193277310925,0.7782865860990862,"(40, 141)","(951, 72000)","(238, 72000)"
10,mfcc,2,0.0,10,0,0.6074074074074074,0.6092639012675777,"(10, 94)","(1618, 48000)","(405, 48000)"
11,mfcc,2,0.0,18,0,0.7654320987654321,0.7614337340899842,"(18, 94)","(1618, 48000)","(405, 48000)"
12,mfcc,2,0.0,26,0,0.7925925925925926,0.7830863580863582,"(26, 94)","(1618, 48000)","(405, 48000)"
13,mfcc,2,0.0,34,0,0.8049382716049382,0.7984655466313075,"(34, 94)","(1618, 48000)","(405, 48000)"
14,mfcc,2,0.0,40,0,0.8148148148148148,0.8088033494283494,"(40, 94)","(1618, 48000)","(405, 48000)"
15,mfcc,1,0.0,10,0,0.4916573971078977,0.4799407173959744,"(10, 47)","(3594, 24000)","(899, 24000)"
16,mfcc,1,0.0,18,0,0.7063403781979978,0.7019285928040446,"(18, 47)","(3594, 24000)","(899, 24000)"
17,mfcc,1,0.0,26,0,0.770856507230256,0.7663333692424362,"(26, 47)","(3594, 24000)","(899, 24000)"
18,mfcc,1,0.0,34,0,0.7897664071190211,0.7857486072683963,"(34, 47)","(3594, 24000)","(899, 24000)"
19,mfcc,1,0.0,40,0,0.8053392658509455,0.8038291047637754,"(40, 47)","(3594, 24000)","(899, 24000)"
