,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,stft,4,0.0,256,0,0.1951219512195122,0.15769035928610398,"(129, 1501)","(656, 96000)","(164, 96000)"
1,stft,4,0.0,512,0,0.1951219512195122,0.16220551378446116,"(257, 751)","(656, 96000)","(164, 96000)"
2,stft,4,0.0,1024,0,0.2073170731707317,0.17177723721067373,"(513, 376)","(656, 96000)","(164, 96000)"
3,stft,4,0.0,2048,0,0.2865853658536585,0.24267206477732794,"(1025, 188)","(656, 96000)","(164, 96000)"
4,stft,3,0.0,256,0,0.23529411764705882,0.20313525868624552,"(129, 1126)","(951, 72000)","(238, 72000)"
5,stft,3,0.0,512,0,0.226890756302521,0.20062064671439672,"(257, 563)","(951, 72000)","(238, 72000)"
6,stft,3,0.0,1024,0,0.22268907563025214,0.20110780423280425,"(513, 282)","(951, 72000)","(238, 72000)"
7,stft,3,0.0,2048,0,0.24789915966386555,0.22638964045214047,"(1025, 141)","(951, 72000)","(238, 72000)"
8,stft,2,0.0,256,0,0.3111111111111111,0.29175528657079003,"(129, 751)","(1618, 48000)","(405, 48000)"
9,stft,2,0.0,512,0,0.3234567901234568,0.3045265787453288,"(257, 376)","(1618, 48000)","(405, 48000)"
10,stft,2,0.0,1024,0,0.30617283950617286,0.28484543337162016,"(513, 188)","(1618, 48000)","(405, 48000)"
11,stft,2,0.0,2048,0,0.3160493827160494,0.29789321483255304,"(1025, 94)","(1618, 48000)","(405, 48000)"
12,stft,1,0.0,256,0,0.19911012235817574,0.1739787041638535,"(129, 376)","(3594, 24000)","(899, 24000)"
13,stft,1,0.0,512,0,0.21579532814238042,0.1913258762521243,"(257, 188)","(3594, 24000)","(899, 24000)"
14,stft,1,0.0,1024,0,0.23136818687430477,0.20571141880520794,"(513, 94)","(3594, 24000)","(899, 24000)"
15,stft,1,0.0,2048,0,0.24694104560622915,0.22040334010562637,"(1025, 47)","(3594, 24000)","(899, 24000)"
