,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro
0,mfcc,1,0.0,10,1,0.5494994438264739,0.5411394349389383
1,mfcc,1,0.0,18,1,0.7185761957730811,0.7158058489162453
2,mfcc,1,0.0,26,1,0.7975528364849832,0.7949996516058638
3,mfcc,1,0.0,34,1,0.8197997775305895,0.8178649433339448
4,mfcc,1,0.0,40,1,0.8342602892102335,0.8339129425783912
5,mfcc,1,0.25,10,1,0.4371523915461624,0.42974701373857666
6,mfcc,1,0.25,18,1,0.6273637374860956,0.6180725803780422
7,mfcc,1,0.25,26,1,0.6974416017797553,0.6826465786877615
8,mfcc,1,0.25,34,1,0.7241379310344829,0.7146200804506725
9,mfcc,1,0.25,40,1,0.7374860956618465,0.7281370203179698
10,mfcc,1,0.5,10,1,0.44048943270300334,0.4315573212066625
11,mfcc,1,0.5,18,1,0.6295884315906563,0.6217133902483845
12,mfcc,1,0.5,26,1,0.6874304783092324,0.673630800951825
13,mfcc,1,0.5,34,1,0.7163515016685206,0.705503178227111
14,mfcc,1,0.5,40,1,0.7363737486095663,0.7271656790801856
15,mfcc,1,0.75,10,1,0.43937708565072303,0.43444459361897986
16,mfcc,1,0.75,18,1,0.6240266963292548,0.6151783454755128
17,mfcc,1,0.75,26,1,0.6907675194660734,0.6768556988092268
18,mfcc,1,0.75,34,1,0.7107897664071189,0.7008246651875117
19,mfcc,1,0.75,40,1,0.7219132369299222,0.7149545771730573
20,mfcc,1,1.0,10,1,0.4427141268075639,0.43531093623380385
21,mfcc,1,1.0,18,1,0.6229143492769744,0.6136284481503361
22,mfcc,1,1.0,26,1,0.6863181312569522,0.6732819613545059
23,mfcc,1,1.0,34,1,0.7096774193548389,0.6989454747415126
24,mfcc,1,1.0,40,1,0.7163515016685206,0.7055685150222062
25,mfcc,1,0.0,10,5,0.5483870967741935,0.5400554154725659
26,mfcc,1,0.0,18,5,0.7185761957730811,0.7158058489162453
27,mfcc,1,0.0,26,5,0.7975528364849832,0.7949996516058638
28,mfcc,1,0.0,34,5,0.8197997775305895,0.8178649433339448
29,mfcc,1,0.0,40,5,0.8342602892102335,0.8339129425783912
30,mfcc,1,0.25,10,5,0.44938820912124583,0.43831100776622484
31,mfcc,1,0.25,18,5,0.6240266963292548,0.6151409018736029
32,mfcc,1,0.25,26,5,0.6974416017797553,0.6850604052157303
33,mfcc,1,0.25,34,5,0.7130144605116796,0.7020546495981949
34,mfcc,1,0.25,40,5,0.7230255839822024,0.7129833106429837
35,mfcc,1,0.5,10,5,0.43492769744160176,0.42537555124358445
36,mfcc,1,0.5,18,5,0.6229143492769744,0.6107443987574382
37,mfcc,1,0.5,26,5,0.6918798665183538,0.6794476325049633
