,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,mfcc,1,0.0,10,5,0.6296296296296297,0.621403938734249,"(10, 47)","(2696, 24000)","(675, 24000)"
1,mfcc,1,0.0,18,5,0.8340740740740741,0.8254431827531127,"(18, 47)","(2696, 24000)","(675, 24000)"
2,mfcc,1,0.0,26,5,0.8918518518518519,0.8867159913744667,"(26, 47)","(2696, 24000)","(675, 24000)"
3,mfcc,1,0.0,34,5,0.9007407407407407,0.8986216079385585,"(34, 47)","(2696, 24000)","(675, 24000)"
4,mfcc,1,0.0,40,5,0.9066666666666666,0.9054483104437253,"(40, 47)","(2696, 24000)","(675, 24000)"
5,mfcc,1,0.25,10,5,0.4148148148148148,0.3968405847072853,"(10, 47)","(2696, 24000)","(675, 24000)"
6,mfcc,1,0.25,18,5,0.6266666666666667,0.6040641232784144,"(18, 47)","(2696, 24000)","(675, 24000)"
7,mfcc,1,0.25,26,5,0.7007407407407408,0.6903882142610858,"(26, 47)","(2696, 24000)","(675, 24000)"
8,mfcc,1,0.25,34,5,0.7466666666666667,0.7375075142901188,"(34, 47)","(2696, 24000)","(675, 24000)"
9,mfcc,1,0.25,40,5,0.7644444444444445,0.7545504110652935,"(40, 47)","(2696, 24000)","(675, 24000)"
10,mfcc,1,0.5,10,5,0.35703703703703704,0.338721533489784,"(10, 47)","(2696, 24000)","(675, 24000)"
11,mfcc,1,0.5,18,5,0.5214814814814814,0.5102006316684786,"(18, 47)","(2696, 24000)","(675, 24000)"
12,mfcc,1,0.5,26,5,0.605925925925926,0.5951380996912476,"(26, 47)","(2696, 24000)","(675, 24000)"
13,mfcc,1,0.5,34,5,0.6681481481481482,0.6546925914088393,"(34, 47)","(2696, 24000)","(675, 24000)"
14,mfcc,1,0.5,40,5,0.6666666666666666,0.6569902042349125,"(40, 47)","(2696, 24000)","(675, 24000)"
15,mfcc,1,1.0,10,5,0.29777777777777775,0.2812364514317079,"(10, 47)","(2696, 24000)","(675, 24000)"
16,mfcc,1,1.0,18,5,0.4296296296296296,0.4159043161704618,"(18, 47)","(2696, 24000)","(675, 24000)"
17,mfcc,1,1.0,26,5,0.49925925925925924,0.49436856022845244,"(26, 47)","(2696, 24000)","(675, 24000)"
18,mfcc,1,1.0,34,5,0.557037037037037,0.5435764928067476,"(34, 47)","(2696, 24000)","(675, 24000)"
19,mfcc,1,1.0,40,5,0.557037037037037,0.54897524600841,"(40, 47)","(2696, 24000)","(675, 24000)"
