,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,mfcc,3,0.0,10,3,0.7485029940119761,0.6920634920634922,"(10, 141)","(665, 72000)","(167, 72000)"
1,mfcc,3,0.0,18,3,0.8562874251497006,0.8141699735449736,"(18, 141)","(665, 72000)","(167, 72000)"
2,mfcc,3,0.0,26,3,0.8802395209580839,0.8580853174603175,"(26, 141)","(665, 72000)","(167, 72000)"
3,mfcc,3,0.0,34,3,0.8922155688622756,0.8714400183150183,"(34, 141)","(665, 72000)","(167, 72000)"
4,mfcc,3,0.0,40,3,0.8802395209580839,0.8677248677248678,"(40, 141)","(665, 72000)","(167, 72000)"
5,mfcc,3,0.25,10,3,0.5568862275449101,0.5082671957671958,"(10, 141)","(665, 72000)","(167, 72000)"
6,mfcc,3,0.25,18,3,0.7305389221556886,0.6956845238095237,"(18, 141)","(665, 72000)","(167, 72000)"
7,mfcc,3,0.25,26,3,0.8083832335329342,0.782638888888889,"(26, 141)","(665, 72000)","(167, 72000)"
8,mfcc,3,0.25,34,3,0.8023952095808384,0.7775793650793651,"(34, 141)","(665, 72000)","(167, 72000)"
9,mfcc,3,0.25,40,3,0.8023952095808384,0.7759920634920635,"(40, 141)","(665, 72000)","(167, 72000)"
10,mfcc,3,0.5,10,3,0.4550898203592814,0.3637731481481481,"(10, 141)","(665, 72000)","(167, 72000)"
11,mfcc,3,0.5,18,3,0.6287425149700598,0.5842757936507937,"(18, 141)","(665, 72000)","(167, 72000)"
12,mfcc,3,0.5,26,3,0.688622754491018,0.6632620851370851,"(26, 141)","(665, 72000)","(167, 72000)"
13,mfcc,3,0.5,34,3,0.7425149700598802,0.6934027777777777,"(34, 141)","(665, 72000)","(167, 72000)"
14,mfcc,3,0.5,40,3,0.7305389221556886,0.6808035714285715,"(40, 141)","(665, 72000)","(167, 72000)"
15,mfcc,3,1.0,10,3,0.3652694610778443,0.291385582010582,"(10, 141)","(665, 72000)","(167, 72000)"
16,mfcc,3,1.0,18,3,0.49700598802395207,0.430465367965368,"(18, 141)","(665, 72000)","(167, 72000)"
17,mfcc,3,1.0,26,3,0.5688622754491018,0.513534151034151,"(26, 141)","(665, 72000)","(167, 72000)"
18,mfcc,3,1.0,34,3,0.6467065868263473,0.594490231990232,"(34, 141)","(665, 72000)","(167, 72000)"
19,mfcc,3,1.0,40,3,0.6227544910179641,0.5654513888888889,"(40, 141)","(665, 72000)","(167, 72000)"
20,mfcc,2,0.0,10,3,0.7551724137931034,0.7385412619787619,"(10, 94)","(1157, 48000)","(290, 48000)"
21,mfcc,2,0.0,18,3,0.8862068965517241,0.8675880832130832,"(18, 94)","(1157, 48000)","(290, 48000)"
22,mfcc,2,0.0,26,3,0.9172413793103448,0.9037901334776336,"(26, 94)","(1157, 48000)","(290, 48000)"
23,mfcc,2,0.0,34,3,0.9,0.8881935194435195,"(34, 94)","(1157, 48000)","(290, 48000)"
24,mfcc,2,0.0,40,3,0.903448275862069,0.901799993987494,"(40, 94)","(1157, 48000)","(290, 48000)"
25,mfcc,2,0.25,10,3,0.43103448275862066,0.39892000360750357,"(10, 94)","(1157, 48000)","(290, 48000)"
26,mfcc,2,0.25,18,3,0.6103448275862069,0.5639845108595108,"(18, 94)","(1157, 48000)","(290, 48000)"
27,mfcc,2,0.25,26,3,0.6413793103448275,0.6205973424723424,"(26, 94)","(1157, 48000)","(290, 48000)"
28,mfcc,2,0.25,34,3,0.6620689655172414,0.642706541144041,"(34, 94)","(1157, 48000)","(290, 48000)"
29,mfcc,2,0.25,40,3,0.6655172413793103,0.6462772181522182,"(40, 94)","(1157, 48000)","(290, 48000)"
30,mfcc,2,0.5,10,3,0.33793103448275863,0.3021521880896881,"(10, 94)","(1157, 48000)","(290, 48000)"
31,mfcc,2,0.5,18,3,0.45517241379310347,0.411721292495749,"(18, 94)","(1157, 48000)","(290, 48000)"
32,mfcc,2,0.5,26,3,0.4827586206896552,0.4510827101819748,"(26, 94)","(1157, 48000)","(290, 48000)"
33,mfcc,2,0.5,34,3,0.5172413793103449,0.4899388414553856,"(34, 94)","(1157, 48000)","(290, 48000)"
34,mfcc,2,0.5,40,3,0.5344827586206896,0.5251485952772718,"(40, 94)","(1157, 48000)","(290, 48000)"
35,mfcc,2,1.0,10,3,0.2655172413793103,0.2242411900699944,"(10, 94)","(1157, 48000)","(290, 48000)"
36,mfcc,2,1.0,18,3,0.3413793103448276,0.2895918844012884,"(18, 94)","(1157, 48000)","(290, 48000)"
37,mfcc,2,1.0,26,3,0.3482758620689655,0.31113654567938454,"(26, 94)","(1157, 48000)","(290, 48000)"
38,mfcc,2,1.0,34,3,0.38620689655172413,0.3553028356793693,"(34, 94)","(1157, 48000)","(290, 48000)"
39,mfcc,2,1.0,40,3,0.4241379310344828,0.3837685610349116,"(40, 94)","(1157, 48000)","(290, 48000)"
40,mfcc,1,0.0,10,3,0.6296296296296297,0.621403938734249,"(10, 47)","(2696, 24000)","(675, 24000)"
41,mfcc,1,0.0,18,3,0.8340740740740741,0.8254431827531127,"(18, 47)","(2696, 24000)","(675, 24000)"
42,mfcc,1,0.0,26,3,0.8918518518518519,0.8867159913744667,"(26, 47)","(2696, 24000)","(675, 24000)"
43,mfcc,1,0.0,34,3,0.9007407407407407,0.8986216079385585,"(34, 47)","(2696, 24000)","(675, 24000)"
44,mfcc,1,0.0,40,3,0.9066666666666666,0.9054483104437253,"(40, 47)","(2696, 24000)","(675, 24000)"
45,mfcc,1,0.25,10,3,0.42666666666666675,0.41027944994745286,"(10, 47)","(2696, 24000)","(675, 24000)"
46,mfcc,1,0.25,18,3,0.6414814814814814,0.6246109373962424,"(18, 47)","(2696, 24000)","(675, 24000)"
47,mfcc,1,0.25,26,3,0.6962962962962963,0.6877051041887535,"(26, 47)","(2696, 24000)","(675, 24000)"
48,mfcc,1,0.25,34,3,0.7466666666666667,0.736702181114703,"(34, 47)","(2696, 24000)","(675, 24000)"
49,mfcc,1,0.25,40,3,0.7585185185185186,0.7465910239222596,"(40, 47)","(2696, 24000)","(675, 24000)"
50,mfcc,1,0.5,10,3,0.35555555555555557,0.33787552074299515,"(10, 47)","(2696, 24000)","(675, 24000)"
51,mfcc,1,0.5,18,3,0.522962962962963,0.50453280895599,"(18, 47)","(2696, 24000)","(675, 24000)"
52,mfcc,1,0.5,26,3,0.6,0.5926593806599331,"(26, 47)","(2696, 24000)","(675, 24000)"
53,mfcc,1,0.5,34,3,0.6607407407407407,0.6516347207001233,"(34, 47)","(2696, 24000)","(675, 24000)"
54,mfcc,1,0.5,40,3,0.6681481481481482,0.6605412371136461,"(40, 47)","(2696, 24000)","(675, 24000)"
55,mfcc,1,1.0,10,3,0.30814814814814817,0.292438310502022,"(10, 47)","(2696, 24000)","(675, 24000)"
56,mfcc,1,1.0,18,3,0.4177777777777778,0.3939808387776654,"(18, 47)","(2696, 24000)","(675, 24000)"
57,mfcc,1,1.0,26,3,0.4918518518518519,0.48341115182461963,"(26, 47)","(2696, 24000)","(675, 24000)"
58,mfcc,1,1.0,34,3,0.562962962962963,0.5596492802683056,"(34, 47)","(2696, 24000)","(675, 24000)"
59,mfcc,1,1.0,40,3,0.5614814814814815,0.549654342065438,"(40, 47)","(2696, 24000)","(675, 24000)"
