,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,fft,3,0.0,256,5,0.059880239520958084,0.03685515873015873,"(256,)","(665, 72000)","(167, 72000)"
1,fft,3,0.0,512,5,0.08982035928143711,0.0677579365079365,"(512,)","(665, 72000)","(167, 72000)"
2,fft,3,0.0,1024,5,0.15568862275449102,0.13658234126984128,"(1024,)","(665, 72000)","(167, 72000)"
3,fft,3,0.0,2048,5,0.23353293413173654,0.18095463564213565,"(2048,)","(665, 72000)","(167, 72000)"
4,fft,3,0.25,256,5,0.059880239520958084,0.03925653594771242,"(256,)","(665, 72000)","(167, 72000)"
5,fft,3,0.25,512,5,0.07784431137724551,0.05679563492063492,"(512,)","(665, 72000)","(167, 72000)"
6,fft,3,0.25,1024,5,0.15568862275449102,0.13931878306878306,"(1024,)","(665, 72000)","(167, 72000)"
7,fft,3,0.25,2048,5,0.2275449101796407,0.17340443121693125,"(2048,)","(665, 72000)","(167, 72000)"
8,fft,3,0.5,256,5,0.07784431137724551,0.0539225412387177,"(256,)","(665, 72000)","(167, 72000)"
9,fft,3,0.5,512,5,0.07784431137724551,0.0535218253968254,"(512,)","(665, 72000)","(167, 72000)"
10,fft,3,0.5,1024,5,0.1497005988023952,0.13422619047619047,"(1024,)","(665, 72000)","(167, 72000)"
11,fft,3,0.5,2048,5,0.23353293413173654,0.180406746031746,"(2048,)","(665, 72000)","(167, 72000)"
12,fft,3,1.0,256,5,0.05389221556886228,0.028935185185185185,"(256,)","(665, 72000)","(167, 72000)"
13,fft,3,1.0,512,5,0.09580838323353294,0.0722470238095238,"(512,)","(665, 72000)","(167, 72000)"
14,fft,3,1.0,1024,5,0.11377245508982035,0.09513888888888888,"(1024,)","(665, 72000)","(167, 72000)"
15,fft,3,1.0,2048,5,0.2215568862275449,0.1698593073593074,"(2048,)","(665, 72000)","(167, 72000)"
