,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,lpc,3,0.0,256,5,0.41317365269461076,0.37622354497354493,"(257,)","(665, 72000)","(167, 72000)"
1,lpc,3,0.0,512,5,0.3532934131736527,0.3005050505050505,"(513,)","(665, 72000)","(167, 72000)"
2,lpc,3,0.0,1024,5,0.31736526946107785,0.2586489898989899,"(1025,)","(665, 72000)","(167, 72000)"
3,lpc,3,0.0,2048,5,0.2215568862275449,0.1737160409035409,"(2049,)","(665, 72000)","(167, 72000)"
4,lpc,3,0.25,256,5,0.2754491017964072,0.2371254324379324,"(257,)","(665, 72000)","(167, 72000)"
5,lpc,3,0.25,512,5,0.20359281437125748,0.17847222222222223,"(513,)","(665, 72000)","(167, 72000)"
6,lpc,3,0.25,1024,5,0.15568862275449102,0.10075104293854294,"(1025,)","(665, 72000)","(167, 72000)"
7,lpc,3,0.25,2048,5,0.1377245508982036,0.09710648148148149,"(2049,)","(665, 72000)","(167, 72000)"
8,lpc,3,0.5,256,5,0.20359281437125748,0.15629133597883596,"(257,)","(665, 72000)","(167, 72000)"
9,lpc,3,0.5,512,5,0.1497005988023952,0.13241642616642615,"(513,)","(665, 72000)","(167, 72000)"
10,lpc,3,0.5,1024,5,0.1317365269461078,0.09220665296032943,"(1025,)","(665, 72000)","(167, 72000)"
11,lpc,3,0.5,2048,5,0.16766467065868262,0.12904138685388686,"(2049,)","(665, 72000)","(167, 72000)"
12,lpc,3,1.0,256,5,0.1497005988023952,0.12786044973544972,"(257,)","(665, 72000)","(167, 72000)"
13,lpc,3,1.0,512,5,0.10778443113772455,0.0789021164021164,"(513,)","(665, 72000)","(167, 72000)"
14,lpc,3,1.0,1024,5,0.11976047904191617,0.07501578282828282,"(1025,)","(665, 72000)","(167, 72000)"
15,lpc,3,1.0,2048,5,0.12574850299401197,0.07294869482369482,"(2049,)","(665, 72000)","(167, 72000)"
