,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,mfcc,3,0.0,10,0,0.6287425149700598,0.5654513888888889,"(10, 141)","(665, 72000)","(167, 72000)"
1,mfcc,3,0.0,18,0,0.7964071856287425,0.7530257936507936,"(18, 141)","(665, 72000)","(167, 72000)"
2,mfcc,3,0.0,26,0,0.8263473053892215,0.7907108516483516,"(26, 141)","(665, 72000)","(167, 72000)"
3,mfcc,3,0.0,34,0,0.8023952095808384,0.7656663359788359,"(34, 141)","(665, 72000)","(167, 72000)"
4,mfcc,3,0.0,40,0,0.7904191616766467,0.7565972222222223,"(40, 141)","(665, 72000)","(167, 72000)"
5,mfcc,2,0.0,10,0,0.6379310344827587,0.6279034622784623,"(10, 94)","(1157, 48000)","(290, 48000)"
6,mfcc,2,0.0,18,0,0.8000000000000002,0.7748919483294482,"(18, 94)","(1157, 48000)","(290, 48000)"
7,mfcc,2,0.0,26,0,0.8517241379310345,0.8301739348614349,"(26, 94)","(1157, 48000)","(290, 48000)"
8,mfcc,2,0.0,34,0,0.8586206896551725,0.8507306929181929,"(34, 94)","(1157, 48000)","(290, 48000)"
9,mfcc,2,0.0,40,0,0.8655172413793104,0.858918222980723,"(40, 94)","(1157, 48000)","(290, 48000)"
10,mfcc,1,0.0,10,0,0.5703703703703704,0.5635847016296522,"(10, 47)","(2696, 24000)","(675, 24000)"
11,mfcc,1,0.0,18,0,0.8118518518518519,0.8084772075681855,"(18, 47)","(2696, 24000)","(675, 24000)"
12,mfcc,1,0.0,26,0,0.8414814814814816,0.8375571595672785,"(26, 47)","(2696, 24000)","(675, 24000)"
13,mfcc,1,0.0,34,0,0.8474074074074074,0.8463380119555456,"(34, 47)","(2696, 24000)","(675, 24000)"
14,mfcc,1,0.0,40,0,0.8518518518518519,0.853617354330396,"(40, 47)","(2696, 24000)","(675, 24000)"
